PAR_MJ,FAPAR_FRACION,T_MIN_DEGC,VPD_PA,RH_PERCENTAGE,TA_DEGC
3.06801,0.645486,24.1322,519.972,84.5637,26.1468
4.86759,0.644878,23.7279,738.71,79.2648,27.1022
4.07057,0.643787,24.1266,693.012,80.7942,27.3208
4.41811,0.642219,24.154,788.801,79.2916,28.2523
4.54562,0.640182,25.172,707.952,81.54,28.3696
4.28891,0.637683,24.4203,794.297,77.9236,27.2713
4.50119,0.63473,24.0143,824.691,77.9318,27.9228
5.01183,0.63133,25.0138,865.797,78.0975,28.8939
4.68006,0.627491,24.8639,829.194,78.811,28.7192
4.6208,0.623222,24.8087,777.727,79.8702,28.4976
5.08196,0.61853,25.0778,856.395,77.955,28.5923
4.99307,0.613424,25.9955,1009.14,74.6841,29.0391
2.78725,0.607914,24.8654,558.266,84.1768,26.936
3.57765,0.602007,24.2736,593.623,83.165,26.9262
2.97635,0.595715,23.5834,621.53,82.188,26.7473
4.15429,0.589047,24.3397,813.374,78.5307,28.159
5.10266,0.582014,24.5998,970.942,75.0193,28.6013
4.58222,0.574627,23.8312,956.537,74.2533,27.822
4.78963,0.566899,24.9286,1108.29,72.4272,29.1839
4.99851,0.558842,25.8004,1324.34,68.745,30.104
5.08777,0.550469,23.807,1229.01,68.9429,28.9128
5.23811,0.541796,24.3136,1208.12,69.7983,29.1
5.29076,0.532836,24.279,1375.58,66.3253,29.4647
5.15534,0.523606,25.2824,2089.1,53.1269,30.9919
5.09817,0.514122,25.3566,1746.85,60.2395,30.7393
5.37104,0.504401,24.6164,2233.27,50.8905,31.347
5.38953,0.494461,24.2985,1633.59,61.4334,30.0981
4.16292,0.484321,24.0968,930.605,75.1979,27.9923
3.98519,0.473999,23.1684,721.639,79.3281,26.7548
4.49369,0.463517,23.245,968.149,73.9497,27.8279
4.57882,0.452893,25.2982,1487.95,64.8893,30.1068
5.17518,0.442148,24.996,1579.36,63.2276,30.3412
5.13731,0.431304,25.6457,1493.75,65.5414,30.5037
5.11178,0.420381,24.7619,1539.41,64.0284,30.278
5.04429,0.409401,25.1771,1603.6,62.5327,30.28
4.16118,0.398384,25.1315,1373.32,65.6834,29.1076
3.37124,0.387352,23.9237,940.114,74.6089,27.7633
4.61532,0.376325,24.4718,1268.31,69.001,29.4925
5.01524,0.365325,25.317,1605.52,62.8869,30.4676
5.07331,0.35437,24.599,1867.01,57.6708,30.8083
5.03563,0.34348,24.934,1899.68,57.0598,30.8614
4.8812,0.332674,25.1747,2132.25,52.89,31.2636
5.07494,0.321969,24.7416,2932.45,38.582,32.2106
5.25449,0.311384,24.8329,3362.36,27.4713,31.6875
5.30039,0.300933,21.0856,2913.52,30.202,29.842
5.26259,0.290632,21.3542,2937.77,30.0945,29.96
5.0506,0.280496,22.7121,2751.89,36.3608,30.4602
4.78444,0.270537,22.5839,2801.3,36.758,30.8832
5.07469,0.260766,23.362,3020.86,33.8392,31.4184
5.1938,0.251196,21.8527,3152.26,27.5362,30.5651
5.24026,0.241834,19.5929,3171.82,22.5271,29.5039
5.19838,0.232691,20.4169,2985.76,24.7826,28.9664
5.13767,0.223773,20.3107,3067.06,25.5334,29.6083
4.97971,0.215085,22.9071,3260.51,22.1086,29.8912
4.74105,0.206634,23.682,3168.82,23.6123,29.7334
5.02496,0.198424,20.6186,2766.95,30.2739,28.9612
5.00876,0.190456,21.7541,3197.86,22.4771,29.6352
4.66501,0.182734,23.2824,3115.93,24.8407,29.7226
4.54092,0.175258,21.4296,2434.09,39.6403,29.2405
4.25162,0.168028,22.7873,1648.59,57.9418,28.7477
4.33154,0.161044,24.5707,1536.82,62.3132,29.4347
4.57333,0.154305,26.0465,3042.24,35.1571,31.8996
4.77647,0.147808,25.7182,3429.27,27.0904,31.944
4.91627,0.14155,21.7216,2954.47,25.2976,28.9028
4.80932,0.135529,20.9074,2585.29,33.5308,28.6132
4.84514,0.12974,19.8554,2745.07,29.6674,28.6733
4.86816,0.12418,21.9965,2958.83,22.465,28.2841
4.85929,0.118844,20.8568,2894.16,21.2374,27.6328
4.84612,0.113726,20.3,2733.84,23.3089,27.1125
4.82228,0.108821,18.7792,2691.54,24.4071,27.0925
4.7934,0.104125,20.1886,2752.57,22.5004,27.0499
4.61889,0.0996305,21.6066,2783.18,23.9794,27.5698
4.70092,0.0953325,19.9684,2710.65,24.1159,27.1478
4.64875,0.0912248,19.8024,2676.23,23.1235,26.7073
4.27224,0.0873014,19.6774,2552.01,26.522,26.6677
4.51231,0.0835562,20.4533,2577.01,29.7524,27.6044
4.37197,0.0799829,20.5197,2483.89,33.0326,27.7938
4.42526,0.0765755,20.2846,2652.62,27.0828,27.4605
4.44833,0.073328,23.6085,2883.17,22.9202,27.9389
3.80512,0.0702342,19.6938,2497.32,19.7569,24.8087
3.14183,0.0672883,20.7355,2557.07,19.1405,25.078
4.3766,0.0644843,18.4765,2320.15,22.9567,24.2566
4.43548,0.0618165,18.1925,2047.44,32.4137,24.3558
4.01926,0.0592793,19.6557,2253.52,30.6629,25.5401
3.96156,0.0568672,20.2221,2016.18,38.7519,25.7561
4.19999,0.0545749,21.7938,2337.41,34.4336,27.1136
4.29392,0.052397,20.9518,2245.03,37.4832,27.2386
